id_venda,id_produto,id_cliente,id_regiao,data,quantidade,valor_total
255,95,19,3,2024-07-22,1,53.06
256,85,939,3,2024-04-07,1,70.1
257,42,232,1,2023-05-14,3,203.79
258,48,116,5,2023-09-06,1,83.19
259,21,578,3,2024-02-16,1,87.92
260,67,822,1,2024-03-31,1,74.97
261,8,713,3,2023-03-07,1,43.0
262,19,334,1,2024-01-13,5,228.7
263,58,252,1,2024-03-11,1,102.1
264,2,457,5,2023-10-25,1,39.06
265,37,305,1,2023-03-19,2,36.04
266,33,249,2,2023-12-20,2,136.86
267,88,615,2,2023-06-02,1,59.23
268,73,759,3,2024-09-05,1,35.61
269,25,969,1,2023-04-06,1,44.76
270,94,826,4,2023-02-25,1,86.5
271,61,119,3,2023-03-01,2,77.16
272,20,251,2,2023-08-11,2,157.42
273,72,41,3,2024-02-08,2,155.22
274,43,738,4,2024-07-30,2,32.9
275,84,974,1,2024-04-13,1,95.87
276,84,62,3,2023-09-22,1,95.87
277,2,27,4,2024-02-07,2,78.12
278,90,917,5,2024-11-22,1,72.41
279,51,402,2,2024-08-04,1,19.62
280,49,808,4,2024-07-04,2,211.42
281,41,867,3,2024-04-24,2,15.48
282,14,834,1,2023-03-12,1,92.29
283,69,484,4,2024-08-16,1,51.54
284,10,666,5,2023-02-02,1,98.55
285,100,159,1,2024-03-08,1,116.51
286,56,418,3,2024-09-10,1,85.52
287,51,508,4,2023-04-27,1,19.62
288,77,265,5,2023-01-05,1,43.08
289,60,579,5,2023-11-21,1,62.36
290,37,536,2,2023-02-10,1,18.02
291,60,180,4,2023-03-02,1,62.36
292,24,532,1,2023-12-01,1,92.43
293,9,69,5,2024-03-30,2,197.3
294,91,208,4,2023-05-09,1,81.85
295,18,822,1,2024-12-07,1,53.89
296,94,563,4,2024-10-28,1,86.5
297,13,315,3,2024-10-23,2,100.46
298,72,411,3,2023-06-20,1,77.61
299,86,349,2,2023-12-04,1,39.91
300,77,711,1,2024-12-09,1,43.08
301,18,253,1,2023-08-23,1,53.89
302,96,819,3,2023-12-07,1,95.83
303,7,829,2,2024-05-02,1,73.47
304,27,776,4,2023-07-26,1,28.59
305,3,770,5,2024-07-30,1,59.07
306,25,512,5,2024-09-03,4,179.04
307,87,168,5,2024-09-15,1,78.94
308,59,778,3,2024-07-23,1,55.21
309,12,407,2,2023-06-13,2,152.92
310,59,341,3,2023-07-11,1,55.21
311,19,560,5,2023-10-27,1,45.74
312,100,155,4,2024-10-25,1,116.51
313,1,454,3,2024-07-27,1,18.87
314,47,568,2,2023-03-29,4,281.08
315,100,756,4,2023-04-25,2,233.02
316,35,810,1,2023-01-24,1,50.16
317,10,235,2,2023-06-14,1,98.55
318,5,495,3,2024-12-03,1,112.11
319,61,127,1,2024-12-22,1,38.58
320,69,176,3,2023-12-28,1,51.54
321,44,199,4,2024-01-12,1,84.35
322,98,825,3,2023-12-22,1,31.45
323,19,78,5,2024-10-10,1,45.74
324,44,769,2,2024-05-16,1,84.35
325,3,235,2,2024-11-23,3,177.21
326,60,826,4,2023-08-18,1,62.36
327,27,568,2,2024-05-06,1,28.59
328,4,673,3,2024-10-16,1,30.89
329,16,678,2,2024-11-12,1,55.58
330,31,343,3,2024-10-25,1,53.45
331,62,398,1,2023-09-30,1,121.82
332,46,648,4,2024-12-18,2,76.7
333,50,971,1,2024-07-08,1,47.99
334,52,513,1,2024-09-15,1,106.68
335,26,85,4,2023-11-30,1,59.89
336,7,950,3,2023-06-18,1,73.47
337,91,517,3,2024-04-08,2,163.7
338,75,586,5,2024-03-05,1,63.03
339,22,284,4,2023-03-30,1,64.55
340,32,789,1,2023-08-17,1,69.75
341,85,422,3,2023-05-27,1,70.1
342,82,628,1,2024-02-14,1,55.78
343,80,990,5,2023-09-24,1,19.16
344,40,335,3,2023-12-16,1,39.15
345,47,172,4,2024-07-05,1,70.27
346,75,299,4,2024-08-27,1,63.03
347,19,983,1,2023-07-05,1,45.74
348,57,651,2,2024-01-18,1,69.77
349,10,403,3,2023-11-28,1,98.55
350,87,397,4,2023-03-14,1,78.94
351,99,508,4,2024-03-21,1,127.7
352,6,122,3,2024-11-18,2,89.6
353,60,999,4,2024-12-24,1,62.36
354,67,724,1,2023-06-09,1,74.97
355,31,409,1,2023-07-29,1,53.45
356,38,225,1,2023-01-09,1,138.92
357,66,849,1,2024-08-05,1,47.46
358,47,443,5,2023-10-10,1,70.27
359,75,339,3,2023-03-20,3,189.09
360,53,22,1,2024-06-16,1,56.17
361,77,982,4,2024-02-15,1,43.08
362,8,759,3,2024-08-13,1,43.0
363,2,310,3,2023-01-05,1,39.06
364,20,582,3,2023-09-02,1,78.71
365,51,557,1,2023-03-20,3,58.86
366,23,784,5,2023-08-19,1,31.45
367,72,150,3,2023-08-01,4,310.44
368,24,992,3,2024-08-10,2,184.86
369,66,418,3,2024-10-22,1,47.46
370,34,43,1,2023-06-23,1,109.05
371,85,217,4,2023-10-14,1,70.1
372,24,144,1,2024-08-25,1,92.43
373,47,860,4,2024-07-11,1,70.27
374,72,570,2,2024-09-17,1,77.61
375,50,521,5,2023-06-15,1,47.99
376,100,240,2,2024-03-14,1,116.51
377,85,200,4,2024-07-27,2,140.2
378,78,899,2,2023-04-15,1,98.14
379,27,43,1,2023-07-14,2,57.18
380,11,615,2,2024-12-18,1,73.71
381,96,9,3,2024-02-20,1,95.83
382,14,140,2,2023-04-19,1,92.29
383,39,756,4,2023-06-06,1,90.97
384,68,902,5,2023-01-10,2,107.6
385,8,651,2,2024-02-15,1,43.0
386,54,833,2,2023-09-27,2,45.56
387,90,320,5,2023-06-07,1,72.41
388,100,929,3,2024-02-23,1,116.51
389,66,7,5,2024-04-30,2,94.92
390,5,313,5,2024-02-07,2,224.22
391,96,527,4,2024-11-29,5,479.15
392,67,468,5,2024-01-20,1,74.97
393,34,752,2,2024-09-22,1,109.05
394,81,553,2,2023-07-26,2,68.52
395,42,138,3,2023-02-23,1,67.93
396,90,898,3,2023-07-24,3,217.23
397,52,24,3,2024-06-06,2,213.36
398,1,632,4,2023-10-24,1,18.87
399,89,864,1,2023-06-29,2,174.56
400,12,431,4,2023-02-01,2,152.92
401,77,995,2,2023-12-11,1,43.08
402,55,843,1,2023-02-10,2,194.58
403,50,539,4,2024-04-06,1,47.99
404,38,511,3,2023-02-20,2,277.84
405,74,682,3,2024-01-19,1,46.78
406,34,360,2,2024-10-15,2,218.1
407,21,211,4,2023-11-19,1,87.92
408,3,61,1,2023-06-04,1,59.07
409,78,823,3,2023-08-28,2,196.28
410,93,284,4,2023-07-13,1,100.91
411,87,859,1,2024-03-17,1,78.94
412,29,728,1,2024-09-13,3,199.47
413,56,525,3,2024-08-06,3,256.56
414,72,858,5,2023-03-03,1,77.61
415,5,814,4,2024-10-26,1,112.11
416,13,575,4,2024-10-30,1,50.23
417,25,58,2,2023-07-11,1,44.76
418,71,559,5,2024-07-23,1,73.15
419,3,557,1,2024-10-16,1,59.07
420,74,326,2,2023-02-04,2,93.56
421,93,788,3,2023-02-04,2,201.82
422,56,180,4,2024-11-10,2,171.04
423,86,898,3,2023-07-11,1,39.91
424,96,868,1,2024-04-01,1,95.83
425,82,921,4,2023-09-07,1,55.78
426,3,402,2,2023-06-03,1,59.07
427,91,916,3,2023-09-18,1,81.85
428,42,433,3,2023-06-17,2,135.86
429,87,357,1,2024-04-23,1,78.94
430,68,950,3,2024-08-24,1,53.8
431,5,232,1,2024-12-25,1,112.11
432,8,312,2,2023-04-05,2,86.0
433,13,441,4,2024-08-23,1,50.23
434,23,892,3,2024-08-07,1,31.45
435,33,70,3,2024-03-05,1,68.43
436,26,598,5,2023-12-12,1,59.89
437,47,202,2,2023-06-04,1,70.27
438,15,284,4,2023-02-08,2,78.96
439,84,965,4,2024-08-11,1,95.87
440,59,186,5,2023-04-10,1,55.21
441,86,754,1,2024-02-21,1,39.91
442,12,765,1,2024-06-16,5,382.3
443,87,17,1,2024-04-19,1,78.94
444,50,923,1,2024-05-21,1,47.99
445,8,572,3,2024-08-20,2,86.0
446,53,508,4,2023-02-13,3,168.51
447,14,442,2,2024-07-25,5,461.45
448,35,867,3,2023-12-02,2,100.32
449,18,135,5,2024-11-06,1,53.89
450,70,523,4,2023-10-06,1,106.18
451,33,902,5,2024-11-01,2,136.86
452,55,744,1,2024-05-12,1,97.29
453,61,611,5,2023-04-26,1,38.58
454,64,758,5,2023-01-16,2,113.9
455,10,515,1,2023-07-16,1,98.55
456,62,545,3,2023-04-07,1,121.82
457,4,195,2,2023-11-21,1,30.89
458,80,187,4,2023-07-17,1,19.16
459,30,335,3,2024-11-17,1,15.29
460,87,576,5,2023-03-05,1,78.94
461,71,866,1,2023-12-20,1,73.15
462,49,635,1,2023-07-05,1,105.71
463,17,819,3,2024-01-16,2,90.96
464,43,607,2,2024-05-20,1,16.45
465,80,30,5,2024-12-22,4,76.64
466,61,743,3,2024-05-27,1,38.58
467,23,898,3,2024-10-03,1,31.45
468,10,200,4,2023-10-27,2,197.1
469,36,413,5,2023-08-22,1,59.88
470,94,555,2,2024-08-25,4,346.0
471,50,717,2,2023-04-28,1,47.99
472,32,547,3,2024-07-05,4,279.0
473,76,615,2,2024-07-27,1,80.22
474,40,722,1,2023-04-02,2,78.3
475,42,876,4,2023-01-19,1,67.93
476,83,578,3,2024-03-20,5,265.05
477,38,161,1,2024-04-30,1,138.92
478,97,51,4,2024-08-07,1,60.8
479,23,254,5,2024-11-28,4,125.8
480,48,819,3,2023-03-18,1,83.19
481,81,56,4,2023-08-22,1,34.26
482,97,547,3,2024-09-24,1,60.8
483,68,195,2,2023-01-06,1,53.8
484,100,196,2,2023-04-24,1,116.51
485,47,362,1,2024-09-18,1,70.27
486,21,526,4,2024-03-27,2,175.84
487,61,58,2,2023-09-13,1,38.58
488,8,201,4,2023-10-11,1,43.0
489,4,233,1,2024-09-14,3,92.67
490,90,233,1,2023-08-24,2,144.82
491,40,804,1,2024-06-02,1,39.15
492,87,739,3,2023-01-08,1,78.94
493,3,784,5,2023-05-10,1,59.07
494,76,411,3,2024-05-26,1,80.22
495,3,524,2,2024-09-19,1,59.07
496,81,458,4,2023-06-21,1,34.26
497,7,951,1,2023-02-14,1,73.47
498,71,169,1,2023-01-07,1,73.15
499,47,781,2,2024-01-15,4,281.08
500,40,357,1,2023-09-27,5,195.75
501,33,392,2,2024-06-30,1,68.43
502,2,999,4,2024-06-28,1,39.06
503,13,807,4,2024-09-22,1,50.23
504,88,415,5,2024-02-09,2,118.46
505,44,143,3,2024-08-08,1,84.35
506,63,624,3,2023-01-11,1,45.44
507,10,660,2,2024-08-24,2,197.1
508,40,165,5,2024-03-27,2,78.3
509,39,2,4,2023-04-02,3,272.91
510,78,50,3,2024-06-11,1,98.14
511,1,562,5,2023-12-19,1,18.87
512,30,881,3,2023-07-26,1,15.29
513,36,407,2,2023-04-07,3,179.64
514,33,377,5,2023-08-22,2,136.86
515,48,702,5,2024-07-24,1,83.19
516,57,398,1,2023-03-25,1,69.77
517,99,30,5,2024-09-17,1,127.7
518,69,7,5,2024-09-01,2,103.08
519,15,403,3,2023-08-09,5,197.4
520,55,503,2,2023-05-16,1,97.29
521,11,806,4,2023-06-05,1,73.71
522,92,562,5,2024-01-31,1,61.57
523,24,429,2,2024-08-20,4,369.72
524,79,921,4,2024-07-08,2,153.14
525,96,629,1,2023-10-28,2,191.66
526,21,315,3,2023-02-18,1,87.92
527,5,591,3,2024-01-15,1,112.11
528,31,496,1,2023-08-08,1,53.45
529,90,582,3,2024-11-08,1,72.41
530,60,706,3,2024-08-22,2,124.72
531,56,525,3,2023-08-30,2,171.04
532,61,269,1,2024-05-05,5,192.9
533,60,477,5,2024-05-18,5,311.8
534,43,34,3,2023-07-17,1,16.45
535,73,182,2,2024-07-15,2,71.22
536,19,746,3,2024-12-12,3,137.22
537,35,573,4,2023-09-30,2,100.32
538,43,43,1,2024-04-27,1,16.45
539,19,386,4,2024-01-15,1,45.74
540,31,414,5,2024-06-18,1,53.45
541,23,633,4,2024-01-01,3,94.35
542,75,100,3,2023-02-28,1,63.03
543,96,666,5,2023-11-15,1,95.83
544,86,296,3,2024-06-26,1,39.91
545,7,808,4,2024-04-21,1,73.47
546,92,368,4,2023-12-11,1,61.57
547,93,818,3,2023-09-22,1,100.91
548,100,153,1,2023-01-30,1,116.51
549,78,640,1,2023-10-23,1,98.14
550,94,996,3,2024-04-14,2,173.0
551,74,59,2,2023-06-27,1,46.78
552,25,298,3,2023-01-18,2,89.52
553,86,827,2,2023-11-12,1,39.91
554,30,535,3,2024-01-24,1,15.29
555,62,572,3,2024-05-13,2,243.64
556,51,526,4,2023-04-03,1,19.62
557,10,368,4,2024-07-30,1,98.55
558,85,613,5,2023-05-22,1,70.1
559,38,137,1,2023-07-22,2,277.84
560,18,655,3,2023-03-30,1,53.89
561,13,760,1,2024-06-17,1,50.23
562,50,702,5,2024-08-25,1,47.99
563,47,134,1,2023-04-20,1,70.27
564,5,638,2,2023-01-13,1,112.11
565,34,48,5,2024-03-25,1,109.05
566,97,467,1,2024-11-29,1,60.8
567,56,446,3,2024-09-16,1,85.52
568,86,905,3,2024-04-06,1,39.91
569,92,493,2,2023-09-16,2,123.14
570,48,284,4,2024-06-30,1,83.19
571,68,32,4,2023-04-04,1,53.8
572,27,18,3,2023-01-05,2,57.18
573,69,379,1,2023-06-27,1,51.54
574,49,417,2,2024-10-15,1,105.71
575,92,635,1,2023-07-09,2,123.14
576,91,52,3,2024-06-22,3,245.55
577,94,384,5,2023-02-01,1,86.5
578,57,448,4,2024-05-26,3,209.31
579,92,78,5,2024-06-13,1,61.57
580,2,511,3,2024-03-04,1,39.06
581,6,413,5,2023-02-05,1,44.8
582,20,475,5,2023-02-09,5,393.55
583,78,639,4,2023-02-12,1,98.14
584,59,313,5,2024-04-17,1,55.21
585,73,794,4,2024-12-14,1,35.61
586,31,334,1,2023-02-11,1,53.45
587,81,391,4,2024-03-06,1,34.26
588,81,848,5,2023-07-08,1,34.26
589,6,427,1,2024-11-13,1,44.8
590,76,779,2,2023-03-19,1,80.22
591,11,967,2,2023-08-24,1,73.71
592,69,500,5,2023-12-15,1,51.54
593,33,603,4,2023-02-01,1,68.43
594,3,673,3,2024-07-07,1,59.07
595,76,83,3,2024-08-16,2,160.44
596,44,76,4,2023-05-06,1,84.35
597,73,540,1,2023-11-24,1,35.61
598,80,960,3,2023-01-04,1,19.16
599,42,435,2,2023-03-22,1,67.93
600,6,304,5,2024-09-17,1,44.8
601,35,743,3,2024-11-20,1,50.16
602,50,911,2,2023-07-08,1,47.99
603,37,712,2,2024-04-20,1,18.02
604,15,4,5,2023-02-02,1,39.48
605,45,291,2,2024-09-07,1,50.07
606,15,88,5,2023-07-06,1,39.48
607,42,413,5,2024-03-12,1,67.93
608,40,610,5,2024-03-20,1,39.15
609,46,204,1,2023-05-22,1,38.35
610,81,431,4,2023-12-20,1,34.26
611,83,159,1,2023-08-14,1,53.01
612,69,817,5,2024-02-04,2,103.08
613,64,271,2,2023-07-16,1,56.95
614,29,629,1,2023-01-03,1,66.49
615,2,781,2,2023-05-25,2,78.12
616,96,985,2,2024-11-16,3,287.49
617,46,205,2,2023-11-17,1,38.35
618,97,599,3,2023-11-03,1,60.8
619,70,833,2,2024-12-22,2,212.36
620,72,942,2,2024-10-21,2,155.22
621,95,548,5,2024-04-04,1,53.06
622,40,303,1,2023-08-23,1,39.15
623,56,211,4,2023-08-03,1,85.52
624,97,82,5,2023-11-27,1,60.8
625,49,284,4,2024-07-08,1,105.71
626,79,396,1,2024-01-18,1,76.57
627,33,173,1,2023-12-29,1,68.43
628,88,313,5,2024-04-29,2,118.46
629,50,541,4,2024-06-14,1,47.99
630,11,960,3,2024-03-16,1,73.71
631,84,420,3,2023-06-16,1,95.87
632,7,59,2,2023-06-02,2,146.94
633,47,434,2,2024-03-08,1,70.27
634,4,582,3,2024-11-05,1,30.89
635,48,55,3,2023-12-23,1,83.19
636,57,317,2,2023-10-29,1,69.77
637,84,917,5,2024-05-05,1,95.87
638,67,632,4,2024-05-21,1,74.97
639,48,491,1,2024-06-28,1,83.19
640,58,631,3,2023-10-05,1,102.1
641,43,212,2,2023-06-02,1,16.45
642,86,573,4,2023-10-19,1,39.91
643,68,660,2,2024-06-18,1,53.8
644,70,515,1,2024-02-01,1,106.18
645,28,330,2,2024-08-15,1,64.81
646,12,309,5,2023-07-25,2,152.92
647,91,692,2,2023-04-26,1,81.85
648,47,663,4,2023-09-07,1,70.27
649,48,3,5,2024-03-03,2,166.38
650,3,760,1,2024-08-20,1,59.07
651,8,616,1,2023-12-31,1,43.0
652,50,615,2,2023-09-22,1,47.99
653,53,164,1,2023-02-27,1,56.17
654,15,10,1,2023-06-04,2,78.96
655,76,371,2,2023-07-29,1,80.22
656,35,481,2,2023-09-28,1,50.16
657,39,843,1,2023-10-02,1,90.97
658,10,409,1,2024-08-17,1,98.55
659,30,288,3,2023-02-16,1,15.29
660,28,14,2,2024-08-16,1,64.81
661,39,941,4,2023-09-20,1,90.97
662,31,558,4,2023-09-25,5,267.25
663,98,850,4,2023-06-27,1,31.45
